iso_code,country,Wealth,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
TGO,Togo,Quintile 5,0.8409216216216217,0.5446378378378378,0.2623657142857143,0.8317972972972972,0.4456324324324324,0.2219722222222222,9.783566666666667,0.023200000000000002,0.07605106382978724,0.036218,0.11804615384615384,0.2987444444444444,187.52380952380952,183.82608695652175,213.45454545454547,405.0,405.0,441.4166666666667,268.3191489361702,268.3191489361702,268.3191489361702,286.2647058823529,237.375,186.0,0.4911714285714286,129.42857142857142,0.07346153846153847,71.53846153846153,0.0165030303030303,225.3939393939394,0.96889375,178.5625,0.8887533333333334,144.53333333333333,0.19941764705882353,290.29411764705884,0.05030588235294117,290.29411764705884,0.086125,242.0,0.12648846153846155,284.1923076923077,0.15033695652173912,279.5869565217391,0.8603722222222223,376.55555555555554,0.8879928571428571,281.2142857142857,0.8428428571428571,263.85714285714283,,,0.6770357142857143,213.57142857142858,0.6382714285714286,205.07142857142858,,,0.3807153846153846,133.84615384615384,0.35369999999999996,126.66666666666667,,,,,,,,
THA,Thailand,Quintile 1,0.9826574468085106,0.741395652173913,0.320154347826087,0.9482745098039216,0.6545627450980392,0.277821568627451,9.581055555555556,0.004802985074626866,0.024991044776119402,0.056148717948717945,0.08905526315789473,0.3675052631578947,269.7173913043478,215.57777777777778,191.0222222222222,639.9607843137255,639.9607843137255,602.7450980392157,277.7313432835821,277.7313432835821,277.7313432835821,887.0666666666667,377.6551724137931,311.8965517241379,0.7092903225806452,206.6451612903226,0.8919923076923078,124.38461538461539,0.023392682926829268,500.9756097560976,0.8390058823529412,181.94117647058823,0.4955,116.0,0.23491923076923077,334.03846153846155,0.07836923076923076,334.03846153846155,0.014929999999999999,320.13793103448273,0.06615128205128205,279.2564102564103,0.1318404761904762,874.4761904761905,0.9652850000000001,461.1,0.64259625,387.1625,0.774423076923077,486.71153846153845,0.7855728395061728,465.25925925925924,0.3216281690140845,212.7605633802817,0.41215,274.7826086956522,0.41559594594594595,267.5945945945946,0.1270851063829787,91.61702127659575,0.14331,101.2,0.13284545454545454,92.69090909090909,0.029066666666666668,46.333333333333336,0.0236,30.0,0.0245,33.5
THA,Thailand,Quintile 2,0.9669773584905661,0.7893944444444444,0.44144074074074074,0.936959649122807,0.7199368421052632,0.4130701754385965,11.013100000000001,0.0023342105263157893,0.009594736842105262,0.042429268292682926,0.08253076923076923,0.33405641025641025,249.69230769230768,227.83018867924528,191.0943396226415,671.438596491228,671.438596491228,660.2456140350877,311.32894736842104,311.32894736842104,311.32894736842104,719.09375,325.8,315.6,0.7337,242.12121212121212,0.8649935483870967,133.03225806451613,0.0129,491.72093023255815,0.8980409090909092,208.72727272727272,0.6027190476190476,143.71428571428572,0.3391903225806452,371.5806451612903,0.10504838709677419,371.5806451612903,0.04699545454545455,368.5483870967742,0.14090454545454545,349.5681818181818,0.12327727272727272,877.75,0.9875545454545454,777.4545454545455,0.6773849315068493,439.43835616438355,0.7884744680851065,541.4468085106383,0.8071407894736842,503.89473684210526,0.3521594202898551,236.4927536231884,0.45978222222222226,310.84444444444443,0.45945070422535217,301.8169014084507,0.13178333333333334,105.52083333333333,0.16445135135135133,113.16216216216216,0.1483793103448276,111.55172413793103,0.03607368421052631,46.78947368421053,0.05225,43.5,0.027763636363636365,39.81818181818182
THA,Thailand,Quintile 3,0.9876054545454546,0.8302315789473684,0.5542087719298245,0.9758105263157895,0.8110929824561404,0.5540228070175438,12.381622222222223,0.001005128205128205,0.004064102564102564,0.04322142857142857,0.059665853658536584,0.24695,246.87037037037038,217.51785714285714,214.76785714285714,729.6842105263158,729.6842105263158,774.280701754386,389.84615384615387,389.84615384615387,389.84615384615387,666.0,284.15625,288.64516129032256,0.76254,272.2,0.884120588235294,151.85294117647058,0.01288,510.5777777777778,0.912675,247.0,0.6668583333333333,199.75,0.4330272727272727,422.90909090909093,0.16705454545454546,422.90909090909093,0.1262125,450.7878787878788,0.21698444444444445,435.9555555555556,0.13445333333333334,904.1777777777778,0.9926545454545455,1397.1363636363637,0.7004364864864865,460.7432432432432,0.7997723404255319,555.531914893617,0.838927027027027,539.3378378378378,0.3838409090909091,288.1212121212121,0.49718139534883715,371.6744186046512,0.5061072463768116,358.30434782608694,0.13996034482758618,129.48275862068965,0.1927222222222222,178.08333333333334,0.17526271186440678,155.35593220338984,0.04666857142857143,60.34285714285714,0.04271304347826087,51.391304347826086,0.04068857142857143,56.22857142857143
THA,Thailand,Quintile 4,0.9935103448275862,0.9134465517241379,0.6656543859649123,0.9936245614035087,0.8728771929824561,0.6972526315789473,12.764299999999999,6.538461538461539e-05,0.0017641025641025642,0.04013571428571429,0.038547619047619046,0.16872857142857142,216.140350877193,185.82456140350877,187.89285714285714,667.4736842105264,667.4736842105264,770.5964912280701,417.56410256410254,417.56410256410254,417.56410256410254,558.6060606060606,223.33333333333334,219.45454545454547,0.7652611111111111,271.5,0.8915575757575757,157.66666666666666,0.01232,512.0444444444445,0.9370208333333333,251.5,0.7866416666666667,222.0,0.5732060606060606,436.4848484848485,0.2864090909090909,436.4848484848485,0.24655833333333332,518.5454545454545,0.27750888888888886,472.97777777777776,0.12584444444444445,884.7555555555556,0.9962954545454547,2224.0,0.764,562.6515151515151,0.8311844444444445,615.9555555555555,0.8707154929577464,585.6197183098592,0.474308064516129,402.06451612903226,0.5647048780487804,481.6585365853659,0.5866772727272728,457.7121212121212,0.21397457627118643,225.0,0.26163947368421053,257.36842105263156,0.24687,245.5,0.08287045454545455,112.11363636363636,0.063878125,80.1875,0.06768636363636364,90.8409090909091
THA,Thailand,Quintile 5,0.9936490909090909,0.9500377358490567,0.8304387755102041,0.993319298245614,0.9085561403508772,0.8706614035087719,14.381011111111112,0.0010210526315789475,0.0019342105263157894,0.028095238095238093,0.022484615384615384,0.06905750000000001,178.42592592592592,142.28846153846155,139.16666666666666,467.05263157894734,467.05263157894734,545.438596491228,311.13157894736844,311.13157894736844,311.13157894736844,417.8787878787879,174.93333333333334,159.8709677419355,0.8311527777777779,254.66666666666666,0.8727029411764706,139.64705882352942,0.009226666666666668,466.84444444444443,0.9865333333333334,203.75,0.8960333333333333,171.25,0.8022272727272728,371.09090909090907,0.5785181818181818,371.09090909090907,0.5184208333333333,507.030303030303,0.4450066666666667,370.4,0.13497555555555557,797.2444444444444,0.9981590909090908,3460.409090909091,0.8809671875,658.765625,0.928404761904762,732.7857142857143,0.941084375,686.734375,0.6834258064516129,580.0806451612904,0.7612928571428571,653.9285714285714,0.7669274193548388,628.2258064516129,0.4261645161290323,430.3225806451613,0.46224878048780493,482.7073170731707,0.45482903225806454,452.2258064516129,0.19947833333333334,251.45,0.16629210526315788,218.07894736842104,0.1602322033898305,219.4915254237288
TJK,Tajikistan,Quintile 1,0.9687903225806451,0.8432206896551724,0.5442322580645161,0.9461473684210526,0.8118210526315789,0.5116421052631579,9.75958947368421,0.01829,0.039646,0.09759,0.06847619047619047,0.33311111111111114,163.47058823529412,130.625,126.17647058823529,404.89473684210526,404.89473684210526,326.36842105263156,179.1,179.1,179.1,,,,0.013266666666666668,128.33333333333334,0.00029,92.2,0.030190625,297.46875,0.991111111111111,247.44444444444446,0.7336722222222222,162.77777777777777,0.10926111111111111,147.88888888888889,0.06797777777777778,147.88888888888889,0.03633529411764706,130.94117647058823,0.10657666666666667,213.73333333333332,0.008159999999999999,242.13333333333333,0.9786047619047619,619.3333333333334,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,Quintile 2,0.9757279411764707,0.856832258064516,0.5715142857142858,0.9633714285714285,0.8687238095238096,0.5742285714285714,10.14197,0.010671698113207548,0.022799999999999997,0.11463181818181818,0.0642875,0.3071684210526316,144.83333333333334,132.88235294117646,148.4,390.2857142857143,390.2857142857143,356.76190476190476,200.39622641509433,200.39622641509433,200.39622641509433,,,,0.05168181818181818,128.8181818181818,0.017849999999999998,95.9,0.015605882352941176,274.5,0.994985,212.25,0.7194052631578947,172.47368421052633,0.1608736842105263,179.42105263157896,0.09865789473684211,179.42105263157896,0.09155,134.1875,0.135428125,221.03125,0.007759375,215.3125,0.9867727272727272,658.9090909090909,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,Quintile 3,0.9814093023255814,0.8805222222222222,0.5934571428571429,0.9571318181818181,0.8855136363636364,0.5924142857142857,10.266,0.010982758620689655,0.022006896551724137,0.09770000000000001,0.04817407407407407,0.31450833333333333,140.6315789473684,132.3684210526316,143.0,388.3636363636364,388.3636363636364,376.3809523809524,202.20689655172413,202.20689655172413,202.20689655172413,,,,0.04781818181818182,115.0909090909091,0.014828571428571429,103.57142857142857,0.013256756756756756,252.72972972972974,0.9960904761904762,211.33333333333334,0.7198894736842105,182.94736842105263,0.2279142857142857,176.76190476190476,0.1644952380952381,176.76190476190476,0.13067894736842103,130.78947368421052,0.11699714285714286,230.68571428571428,0.00968,190.05714285714285,0.9911666666666666,674.125,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,Quintile 4,0.9895533333333333,0.8988975,0.6319,0.9763458333333334,0.8989416666666666,0.6418083333333333,10.866808695652173,0.007063076923076922,0.014933846153846153,0.09191851851851851,0.03735925925925926,0.26237037037037036,141.14285714285714,142.33333333333334,149.05,414.75,414.75,356.75,217.6153846153846,217.6153846153846,217.6153846153846,,,,0.12238125,120.0,0.02731,86.2,0.0083925,249.525,0.9990521739130436,209.56521739130434,0.7716478260869566,197.7391304347826,0.2681521739130435,157.91304347826087,0.19335217391304346,157.91304347826087,0.1713,138.73684210526315,0.1780390243902439,242.58536585365854,0.0056075,178.6,0.9914846153846154,768.2692307692307,,,,,,,,,,,,,,,,,,,,,,,,
