country,iso_code,Wealth,year,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,trans_prim_m,trans_lowsec_m,attend_higher_1822_m,overage2plus_m
Denmark,DNK,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,DOM,Quintile 1,2000,0.523144444,0.400355556,0.216011111,,0.105046667,0.292933333,0.069133333,0.024066667,0.1182,102.1333333,102.1333333,102.1333333,,,,,,,,
Dominican Rep.,DOM,Quintile 2,2000,0.632,0.539044444,0.264422222,,0.057394118,0.161229412,0.054733333,0.0201,0.1469,104.9411765,104.9411765,104.9411765,,,,,,,,
Dominican Rep.,DOM,Quintile 3,2000,0.736122222,0.594811111,0.308077778,,0.045528571,0.079442857,0.042733333,0.023666667,0.1575,98.92857143,98.92857143,98.92857143,,,,,,,,
Dominican Rep.,DOM,Quintile 4,2000,0.787944444,0.722066667,0.4085,,0.01787,0.04629,0.025133333,0.0139,0.138666667,108.8,108.8,108.8,,,,,,,,
Dominican Rep.,DOM,Quintile 5,2000,0.877988889,0.823811111,0.548066667,,0,0.013325,0.003266667,0,0.094333333,91.5,91.5,91.5,,,,,,,,
Ecuador,ECU,Quintile 1,2000,0.85542381,0.457833333,0.290557143,7.828980952,0.050219048,0.110871429,0.035304762,0.22907619,0.424457143,220.8571429,220.8571429,220.8571429,542.5714286,257.4285714,188.2857143,0.019709524,0.792966667,0.877983333,,
Ecuador,ECU,Quintile 2,2000,0.9106,0.507880952,0.378161905,8.899119048,0.022161905,0.049209524,0.0289,0.217409524,0.424361905,283.1428571,283.1428571,283.1428571,550.5714286,268.2857143,222.8571429,0.02542381,0.842880952,0.877757143,,
Ecuador,ECU,Quintile 3,2000,0.898861905,0.517390476,0.377909524,9.267447619,0.01582381,0.048995238,0.029128571,0.174309524,0.384104762,328,328,328,489.7142857,272.8571429,257.7142857,0.020547619,0.809361905,0.876880952,,
Ecuador,ECU,Quintile 4,2000,0.932447619,0.614285714,0.523180952,10.32414286,0.012280952,0.026185714,0.021252381,0.159019048,0.315557143,375.4285714,375.4285714,375.4285714,420,232.2857143,252,0.021838095,0.848828571,0.875080952,,
Ecuador,ECU,Quintile 5,2000,0.905690476,0.604071429,0.512385714,10.37295238,0.01812381,0.046814286,0.032190476,0.222809524,0.32302381,415.4285714,415.4285714,415.4285714,415.4285714,220.8571429,236,0.016628571,0.887780952,0.899719048,,
El Salvador,SLV,Quintile 1,2000,0.514233333,0.293311111,0.133833333,,,,0.167233333,0.2995,0.585333333,,,,,,,,,,,
El Salvador,SLV,Quintile 2,2000,0.6358,0.391511111,0.224455556,,,,0.1185,0.272533333,0.512966667,,,,,,,,,,,
El Salvador,SLV,Quintile 3,2000,0.740855556,0.497533333,0.305666667,,,,0.089333333,0.218466667,0.3952,,,,,,,,,,,
El Salvador,SLV,Quintile 4,2000,0.791244444,0.593866667,0.425333333,,,,0.055733333,0.149066667,0.3456,,,,,,,,,,,
El Salvador,SLV,Quintile 5,2000,0.858555556,0.748744444,0.613255556,,,,0.0376,0.123,0.316366667,,,,,,,,,,,
Equat. Guinea,GNQ,Quintile 1,2000,0.263,0.0673,0.0131,,0.035816667,0.147258333,,,,94.16666667,94.16666667,94.16666667,,,,,,,,
Equat. Guinea,GNQ,Quintile 2,2000,0.2552,0.0587,0.0193,,0.0269,0.160276471,,,,84.47058824,84.47058824,84.47058824,,,,,,,,
Equat. Guinea,GNQ,Quintile 3,2000,0.5631,0.2695,0.0516,,0.012418182,0.056709091,,,,84.45454545,84.45454545,84.45454545,,,,,,,,
Equat. Guinea,GNQ,Quintile 4,2000,0.481,0.184,0.0622,,0.013370588,0.097576471,,,,134,134,134,,,,,,,,
Equat. Guinea,GNQ,Quintile 5,2000,0.5594,0.3138,0.105,,0.008946154,0.077946154,,,,183.3846154,183.3846154,183.3846154,,,,,,,,
Eswatini,SWZ,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
France,FRA,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
France,FRA,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
France,FRA,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
France,FRA,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
France,FRA,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Gambia,GMB,Quintile 1,2000,0.1137,0.0575,0.0049,,0.044,0.08055,,,,42.75,42.75,42.75,,,,,,,,
Gambia,GMB,Quintile 2,2000,0.3699,0.2072,0.0926,,0.00145,0.03565,,,,59,59,59,,,,,,,,
Gambia,GMB,Quintile 3,2000,0.4545,0.2648,0.1236,,0.0282,0.0993,,,,59.4,59.4,59.4,,,,,,,,
Gambia,GMB,Quintile 4,2000,0.5986,0.4474,0.224,,0.009525,0.026458333,,,,88.91666667,88.91666667,88.91666667,,,,,,,,
Gambia,GMB,Quintile 5,2000,0.7969,0.5487,0.2942,,0.015775,0.027666667,,,,237.8333333,237.8333333,237.8333333,,,,,,,,
Germany,DEU,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Germany,DEU,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Germany,DEU,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Germany,DEU,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Germany,DEU,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Quintile 1,2000,0.22275,0.020177778,0.020582353,2.254817391,0.507521739,0.733073913,0.319568966,0.6632,0.860261905,132.173913,132.173913,132.173913,257.3793103,136.9545455,123.9047619,0.328167857,0.329842857,,,
Guatemala,GTM,Quintile 2,2000,0.322063636,0.100976471,0.026171429,3.5449,0.298152,0.537724,0.213863333,0.6676875,0.836836364,116.88,116.88,116.88,276.4,119.6666667,118.3181818,0.213896429,0.45434,0.6312,,
Guatemala,GTM,Quintile 3,2000,0.489630435,0.119873684,0.057758824,4.44945,0.2441875,0.422445833,0.144029032,0.5495,0.783413043,129.625,129.625,129.625,255.7741935,135.625,114.3478261,0.118306667,0.524025,0.6045,,
Guatemala,GTM,Quintile 4,2000,0.719144,0.378575,0.133305556,6.511992857,0.120610714,0.250182143,0.078654545,0.439022222,0.617716,123.5,123.5,123.5,214,122.6296296,117.64,0.062822581,0.736276923,0.684888889,,
Guatemala,GTM,Quintile 5,2000,0.90224,0.645,0.47990625,9.75234,0.046984,0.101588,0.034967742,0.166336842,0.35549,163.32,163.32,163.32,187.5806452,138.2631579,142.4,0.025625,0.906278571,0.905982353,,
Guinea-Bissau,GNB,Quintile 1,2000,0.0139,0.0069,0.0043,,0.09792,0.33788,,,,84.4,84.4,84.4,,,,,,,,
Guinea-Bissau,GNB,Quintile 2,2000,0.0589,0.0027,0.0042,,0.0811,0.379275,,,,65.375,65.375,65.375,,,,,,,,
Guinea-Bissau,GNB,Quintile 3,2000,0.1101,0.0338,0.0178,,0.045191667,0.174083333,,,,76.25,76.25,76.25,,,,,,,,
